@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute global_motion numeric
@attribute motion_L numeric
@attribute motion_R numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
772,'2017/09/14 22:03:03:254',20,0.025,0.04375,0.00625,?,?,?,?,?
773,'2017/09/14 22:03:03:269',20,0.025,0.04375,0.00625,?,?,?,?,?
774,'2017/09/14 22:03:03:303',20,0.046875,0.0875,0.00625,?,?,?,?,?
775,'2017/09/14 22:03:03:320',20,0.046875,0.0875,0.00625,?,?,?,?,?
776,'2017/09/14 22:03:03:336',20,0.046875,0.0875,0.00625,?,?,?,?,?
777,'2017/09/14 22:03:03:353',20,0.046875,0.0875,0.00625,?,?,?,?,?
778,'2017/09/14 22:03:03:387',20,0.04375,0.078125,0.009375,?,?,?,?,?
779,'2017/09/14 22:03:03:401',20,0.04375,0.078125,0.009375,?,?,?,?,?
780,'2017/09/14 22:03:03:420',20,0.04375,0.078125,0.009375,?,?,?,?,?
781,'2017/09/14 22:03:03:435',20,0.04375,0.078125,0.009375,?,?,?,?,?
782,'2017/09/14 22:03:03:469',20,0.00625,0.0125,0,?,?,?,?,?
783,'2017/09/14 22:03:03:487',20,0.00625,0.0125,0,?,?,?,?,?
784,'2017/09/14 22:03:03:501',20,0.00625,0.0125,0,?,?,?,?,?
785,'2017/09/14 22:03:03:521',20,0.00625,0.0125,0,?,?,?,?,?
786,'2017/09/14 22:03:03:568',20,0.032812,0.059375,0.00625,?,?,?,?,?
787,'2017/09/14 22:03:03:586',20,0.032812,0.059375,0.00625,?,?,?,?,?
788,'2017/09/14 22:03:03:602',20,0.032812,0.059375,0.00625,?,?,?,?,?
789,'2017/09/14 22:03:03:622',20,0.032812,0.059375,0.00625,?,?,?,?,?
790,'2017/09/14 22:03:03:636',20,0.035937,0.06875,0.003125,?,?,?,?,?
791,'2017/09/14 22:03:03:652',20,0.035937,0.06875,0.003125,?,?,?,?,?
792,'2017/09/14 22:03:03:670',20,0.035937,0.06875,0.003125,?,?,?,?,?
793,'2017/09/14 22:03:03:685',20,0.035937,0.06875,0.003125,?,?,?,?,?
794,'2017/09/14 22:03:03:719',20,0.03125,0.059375,0.003125,?,?,?,?,?
795,'2017/09/14 22:03:03:736',20,0.03125,0.059375,0.003125,?,?,?,?,?
796,'2017/09/14 22:03:03:751',20,0.03125,0.059375,0.003125,?,?,?,?,?
797,'2017/09/14 22:03:12:770',21,0.001563,0,0.003125,?,?,?,?,?
798,'2017/09/14 22:03:12:801',21,0.010937,0.009375,0.0125,?,?,?,?,?
799,'2017/09/14 22:03:12:820',21,0.010937,0.009375,0.0125,?,?,?,?,?
800,'2017/09/14 22:03:12:836',21,0.010937,0.009375,0.0125,?,?,?,?,?
801,'2017/09/14 22:03:12:851',21,0.010937,0.009375,0.0125,?,?,?,?,?
802,'2017/09/14 22:03:12:886',21,0.015625,0.009375,0.021875,?,?,?,?,?
803,'2017/09/14 22:03:12:904',21,0.015625,0.009375,0.021875,?,?,?,?,?
804,'2017/09/14 22:03:12:919',21,0.015625,0.009375,0.021875,?,?,?,?,?
805,'2017/09/14 22:03:12:937',21,0.015625,0.009375,0.021875,?,?,?,?,?
806,'2017/09/14 22:03:12:969',21,0.014062,0.00625,0.021875,?,?,?,?,?
807,'2017/09/14 22:03:12:986',21,0.014062,0.00625,0.021875,?,?,?,?,?
808,'2017/09/14 22:03:13:003',21,0.014062,0.00625,0.021875,?,?,?,?,?
809,'2017/09/14 22:03:13:019',21,0.014062,0.00625,0.021875,?,?,?,?,?
810,'2017/09/14 22:03:13:053',21,0.046875,0.009375,0.084375,?,?,?,?,?
811,'2017/09/14 22:03:13:068',21,0.046875,0.009375,0.084375,?,?,?,?,?
812,'2017/09/14 22:03:13:086',21,0.046875,0.009375,0.084375,?,?,?,?,?
813,'2017/09/14 22:03:13:102',21,0.046875,0.009375,0.084375,?,?,?,?,?
814,'2017/09/14 22:03:13:135',21,0.015625,0.00625,0.025,?,?,?,?,?
815,'2017/09/14 22:03:13:154',21,0.015625,0.00625,0.025,?,?,?,?,?
816,'2017/09/14 22:03:13:169',21,0.015625,0.00625,0.025,?,?,?,?,?
817,'2017/09/14 22:03:13:186',21,0.015625,0.00625,0.025,?,?,?,?,?
818,'2017/09/14 22:03:13:219',21,0.034375,0.00625,0.0625,?,?,?,?,?
819,'2017/09/14 22:03:13:237',21,0.034375,0.00625,0.0625,?,?,?,?,?
820,'2017/09/14 22:03:13:250',21,0.034375,0.00625,0.0625,?,?,?,?,?
821,'2017/09/14 22:03:13:270',21,0.034375,0.00625,0.0625,?,?,?,?,?
822,'2017/09/14 22:03:13:302',21,0.015625,0,0.03125,?,?,?,?,?
823,'2017/09/14 22:03:13:319',21,0.015625,0,0.03125,?,?,?,?,?
824,'2017/09/14 22:03:13:335',21,0.015625,0,0.03125,?,?,?,?,?
825,'2017/09/14 22:03:13:353',21,0.015625,0,0.03125,?,?,?,?,?
826,'2017/09/14 22:03:13:387',21,0.042188,0.009375,0.075,?,?,?,?,?
827,'2017/09/14 22:03:13:403',21,0.042188,0.009375,0.075,?,?,?,?,?
828,'2017/09/14 22:03:13:420',21,0.042188,0.009375,0.075,?,?,?,?,?
829,'2017/09/14 22:03:13:436',21,0.042188,0.009375,0.075,?,?,?,?,?
830,'2017/09/14 22:03:13:469',21,0.048437,0.0125,0.084375,?,?,?,?,?
831,'2017/09/14 22:03:13:486',21,0.048437,0.0125,0.084375,?,?,?,?,?
832,'2017/09/14 22:03:13:501',21,0.048437,0.0125,0.084375,?,?,?,?,?
